2026-09-11T13:22:29.300Z [env] 6 variaveis carregadas de .env (valores nao exibidos)
2026-09-11T13:22:29.300Z [db] lendo em modo somente-leitura: /opt/erp-wake/data/app.db
2026-09-11T13:22:29.322Z [db] 2318 produtos ativos; CD=25 tabela=74 promocao=10365 CISS empresa=2 local=2
2026-09-11T13:22:29.322Z [db] intervalo produtoVarianteId da whitelist: 278078..283202
2026-09-11T13:22:29.323Z [auth] token Wake: env; token CISS: db (valores nunca exibidos)
2026-09-11T13:22:29.326Z [wake] GET /produtos CD=25 intervalo 278078..283202
2026-09-11T13:26:13.610Z [wake] GET /tabelaPrecos/74/produtos?pagina=17&quantidadeRegistros=50 -> 200 (rate-limit restante=103)
2026-09-11T13:26:15.613Z [wake] GET /tabelaPrecos/74/produtos?pagina=18&quantidadeRegistros=50 -> 200 (rate-limit restante=102)
2026-09-11T13:26:17.614Z [wake] GET /tabelaPrecos/74/produtos?pagina=19&quantidadeRegistros=50 -> 200 (rate-limit restante=101)
2026-09-11T13:26:19.617Z [wake] GET /tabelaPrecos/74/produtos?pagina=20&quantidadeRegistros=50 -> 200 (rate-limit restante=100)
2026-09-11T13:26:21.618Z [wake] GET /tabelaPrecos/74/produtos?pagina=21&quantidadeRegistros=50 -> 200 (rate-limit restante=99)
2026-09-11T13:26:23.619Z [wake] GET /tabelaPrecos/74/produtos?pagina=22&quantidadeRegistros=50 -> 200 (rate-limit restante=98)
2026-09-11T13:26:25.626Z [wake] GET /tabelaPrecos/74/produtos?pagina=23&quantidadeRegistros=50 -> 200 (rate-limit restante=97)
2026-09-11T13:26:27.622Z [wake] GET /tabelaPrecos/74/produtos?pagina=24&quantidadeRegistros=50 -> 200 (rate-limit restante=96)
2026-09-11T13:26:29.625Z [wake] GET /tabelaPrecos/74/produtos?pagina=25&quantidadeRegistros=50 -> 200 (rate-limit restante=95)
2026-09-11T13:26:31.625Z [wake] GET /tabelaPrecos/74/produtos?pagina=26&quantidadeRegistros=50 -> 200 (rate-limit restante=94)
2026-09-11T13:26:33.627Z [wake] GET /tabelaPrecos/74/produtos?pagina=27&quantidadeRegistros=50 -> 200 (rate-limit restante=93)
2026-09-11T13:26:35.629Z [wake] GET /tabelaPrecos/74/produtos?pagina=28&quantidadeRegistros=50 -> 200 (rate-limit restante=92)
2026-09-11T13:26:37.630Z [wake] GET /tabelaPrecos/74/produtos?pagina=29&quantidadeRegistros=50 -> 200 (rate-limit restante=91)
2026-09-11T13:26:39.633Z [wake] GET /tabelaPrecos/74/produtos?pagina=30&quantidadeRegistros=50 -> 200 (rate-limit restante=90)
2026-09-11T13:26:41.631Z [wake] GET /tabelaPrecos/74/produtos?pagina=31&quantidadeRegistros=50 -> 200 (rate-limit restante=119)
2026-09-11T13:26:43.631Z [wake] GET /tabelaPrecos/74/produtos?pagina=32&quantidadeRegistros=50 -> 200 (rate-limit restante=118)
2026-09-11T13:26:45.634Z [wake] GET /tabelaPrecos/74/produtos?pagina=33&quantidadeRegistros=50 -> 200 (rate-limit restante=117)
2026-09-11T13:26:47.648Z [wake] GET /tabelaPrecos/74/produtos?pagina=34&quantidadeRegistros=50 -> 200 (rate-limit restante=116)
2026-09-11T13:26:49.633Z [wake] GET /tabelaPrecos/74/produtos?pagina=35&quantidadeRegistros=50 -> 200 (rate-limit restante=115)
2026-09-11T13:26:51.639Z [wake] GET /tabelaPrecos/74/produtos?pagina=36&quantidadeRegistros=50 -> 200 (rate-limit restante=114)
2026-09-11T13:26:53.637Z [wake] GET /tabelaPrecos/74/produtos?pagina=37&quantidadeRegistros=50 -> 200 (rate-limit restante=113)
2026-09-11T13:26:55.647Z [wake] GET /tabelaPrecos/74/produtos?pagina=38&quantidadeRegistros=50 -> 200 (rate-limit restante=112)
